sample_id	condition	r1_fastq	r2_fastq
control1	control	data/illumina_rnaseq/control1_R1.fastq.gz	data/illumina_rnaseq/control1_R2.fastq.gz
control2	control	data/illumina_rnaseq/control2_R1.fastq.gz	data/illumina_rnaseq/control2_R2.fastq.gz
control3	control	data/illumina_rnaseq/control3_R1.fastq.gz	data/illumina_rnaseq/control3_R2.fastq.gz
controlnoFe1	noFe	data/illumina_rnaseq/controlnoFe1_R1.fastq.gz	data/illumina_rnaseq/controlnoFe1_R2.fastq.gz
controlnoFe2	noFe	data/illumina_rnaseq/controlnoFe2_R1.fastq.gz	data/illumina_rnaseq/controlnoFe2_R2.fastq.gz
controlnoFe3	noFe	data/illumina_rnaseq/controlnoFe3_R1.fastq.gz	data/illumina_rnaseq/controlnoFe3_R2.fastq.gz
diamide1	diamide	data/illumina_rnaseq/diamide1_R1.fastq.gz	data/illumina_rnaseq/diamide1_R2.fastq.gz
diamide2	diamide	data/illumina_rnaseq/diamide2_R1.fastq.gz	data/illumina_rnaseq/diamide2_R2.fastq.gz
diamide3	diamide	data/illumina_rnaseq/diamide3_R1.fastq.gz	data/illumina_rnaseq/diamide3_R2.fastq.gz
H2O21	h2o2	data/illumina_rnaseq/H2O21_R1.fastq.gz	data/illumina_rnaseq/H2O21_R2.fastq.gz
H2O22	h2o2	data/illumina_rnaseq/H2O22_R1.fastq.gz	data/illumina_rnaseq/H2O22_R2.fastq.gz
H2O23	h2o2	data/illumina_rnaseq/H2O23_R1.fastq.gz	data/illumina_rnaseq/H2O23_R2.fastq.gz
